Timestamp, Pad 0, Pad 1, Pad 2, Pad 3, Pad 4, Pad 5
1996.8036,41846,41830,41689,44216,45689,48459
4009.2071,41846,41830,41686,44214,45681,48485
5007.6088,41833,41854,41717,44217,45701,48478
6021.6106,41847,41831,41690,44220,45669,48463
7035.6124,41847,41830,41686,44239,45680,48485
8049.6142,41884,41852,41703,44214,45700,48485
9063.616,41881,41830,41718,44244,45708,48487
10077.6177,41859,41828,41711,44229,45704,48490
11091.6195,41841,41873,41722,44226,45712,48503
12105.6213,41855,41854,41720,44246,45714,48497
13119.6231,41823,41850,41713,44233,45705,48487
14133.6249,41897,41852,41719,44254,45708,48486
15147.6266,41880,41829,41719,44232,45697,48507
16161.6284,41879,41860,41730,44251,45713,48500
21231.6373,41811,41838,41682,44224,45668,48441
22246.4406,41891,41865,41719,44251,45717,48498
23260.4424,41873,41843,41689,44220,45673,48452
24262.8516,41840,41842,41689,44218,45678,48446
27307.2615,41859,41844,41693,44228,45679,48460
28321.2633,41863,41841,41695,44231,45679,48455
29335.265,41878,41836,41719,44241,45728,48498
30349.2668,41880,41858,41706,44240,45708,48489
31363.2686,41854,41890,41721,44268,45725,48502
32377.2704,41836,41839,41715,44246,45711,48486
33391.2722,41884,41850,41726,44239,45710,48487
34405.2739,41843,41867,41724,44243,45721,48498
35419.2757,41875,41869,41724,44243,45711,48494
36433.2775,41834,41876,41728,44236,45712,48494
37447.2793,41899,41872,41714,44238,45712,48496
38461.2811,41881,41873,41727,44247,45707,48494
39475.2828,41913,41868,41726,44242,45707,48493
40489.2846,41853,41846,41695,44220,45683,48464
41503.2864,41910,41873,41728,44249,45710,48485
42517.2882,41817,41846,41728,44238,45708,48501
43531.29,41850,41860,41733,44245,45712,48498
44545.2918,41896,41866,41733,44233,45723,48515
45559.2935,41824,41858,41727,44241,45703,48496
46573.2953,41894,41870,41722,44237,45706,48494
47587.2971,41871,41846,41722,44243,45715,48491
48601.2989,41905,41867,41726,44245,45719,48496
