Timestamp, Pad 0, Pad 1, Pad 2, Pad 3, Pad 4, Pad 5
3010.8053,41711,41677,41559,44080,45549,48710
4009.207,41721,41700,41579,44100,45553,48716
5023.2088,41770,41693,41589,44080,45568,48726
6037.2106,41757,41697,41577,44089,45551,48716
7051.2124,41716,41682,41582,44096,45554,48725
8065.2142,41703,41477,40585,43068,45316,48668
9079.2159,41719,41522,40615,43074,45288,48666
10093.2177,41702,41696,41591,44107,45561,48723
11110.2197,41710,41686,41581,44103,45561,48719
12155.4215,41749,41681,41572,44093,45553,48714
13138.2232,41785,41682,41578,44108,45553,48721
14152.225,41763,41688,41583,44100,45563,48734
15166.2268,41740,41691,41575,44093,45553,48717
16180.2286,41708,41663,41557,44094,45546,48682
17194.2304,41697,41667,41585,44093,45559,48728
18208.2321,41749,41662,41549,44061,45527,48681
24292.2428,2342,2454,36493,44072,45519,48678
25306.2446,2344,39283,41557,44081,45556,48709
26320.2464,41779,41700,41567,44109,45564,48724
27334.2482,41724,41668,41551,44060,45534,48711
28348.2499,41695,41677,41566,44078,45535,48685
29362.2517,41726,41685,41575,44076,45553,48725
30376.2535,41721,41663,41547,44069,45516,48686
31390.2553,41785,41704,41582,44088,45551,48713
35446.2624,41696,41670,41582,44076,45553,48724
36460.2642,41743,41698,41584,44088,45558,48718
37474.266,41709,41670,41574,44083,45545,48721
38488.2678,41719,41668,41546,44058,45512,48687
39502.2695,41739,41667,41540,44062,45529,48722
40516.2713,41709,41673,41564,44085,45556,48717
41530.2731,41704,41689,41574,44072,45565,48723
42544.2749,41746,41680,41572,44074,45548,48706
43545.6768,41705,41666,41562,44089,45562,48718
44559.6786,41734,41691,41585,44092,45566,48723
45573.6804,41731,41690,41574,44083,45550,48724
46587.6822,41724,41699,41577,44092,45563,48721
47601.6839,41752,41665,41545,44082,45541,48726
48615.6857,41717,41688,41581,44082,45550,48727
49629.6875,41729,41685,41575,44084,45552,48720
50643.6893,41735,41671,41579,44083,45554,48721
51657.6911,41754,41679,41550,44059,45521,48727
52671.6928,41747,41666,41571,44088,45545,48714
53685.6946,41719,41662,41564,44068,45520,48724
54699.6964,41774,41699,41580,44087,45561,48737
55713.6982,41721,41676,41573,44091,45548,48716
56727.7,41706,41667,41578,44088,45548,48717
57741.7017,41739,41690,41578,44080,45551,48720
58755.7035,41691,41683,41577,44082,45557,48727
59769.7053,41721,41673,41582,44090,45568,48740
60783.7071,41745,41668,41591,44097,45556,48718
61797.7089,41759,41688,41586,44100,45569,48735
62811.7106,41726,41692,41578,44066,45547,48725
63825.7124,41729,41687,41577,44082,45549,48725
64839.7142,41762,41695,41583,44080,45554,48720
65853.716,41716,41674,41556,44068,45519,48724
66867.7178,41763,41666,41542,44054,45542,48711
71937.7267,41751,41662,41569,44083,45548,48719
72951.7285,41731,41685,41578,44094,45567,48732
73965.7302,41756,41686,41573,44087,45560,48723
74979.732,41704,41690,41587,44089,45561,48722
75995.7339,41742,41665,41577,44065,45556,48729
77009.7357,41739,41686,41576,44085,45572,48741
78023.7375,41745,41671,41567,44079,45556,48727
79037.7393,41721,41681,41571,44076,45557,48733
80051.741,41742,41671,41570,44084,45570,48729
81065.7428,41755,41699,41587,44089,45571,48737
82079.7446,41774,41695,41580,44085,45572,48733
83093.7464,41709,41686,41581,44090,45556,48721
84107.7482,41740,41665,41566,44094,45560,48728
85121.7499,41690,41670,41572,44096,45572,48736
86135.7517,41740,41667,41553,44088,45561,48732
87149.7535,41760,41686,41578,44091,45572,48723
88163.7553,41729,41671,41542,44068,45522,48686
89177.7571,41743,41679,41574,44088,45556,48731
90191.7588,41742,41671,41567,44070,45564,48720
91205.7606,41714,41667,41552,44072,45538,48727
92219.7624,41752,41697,41573,44083,45554,48727
96275.7695,41739,41672,41551,44064,45524,48712
97289.7713,41730,41669,41567,44091,45557,48739
98303.7731,41710,41656,41546,44065,45542,48734
99317.7749,41702,41694,41581,44094,45566,48734
100331.7767,41766,41717,41587,44105,45567,48736
101345.7784,41791,41703,41569,44088,45560,48736
102359.7802,41778,41696,41585,44084,45560,48723
103373.782,41764,41696,41582,44089,45559,48738
104387.7838,41707,41696,41581,44103,45576,48741
105401.7856,41742,41694,41575,44086,45558,48728
106415.7873,41736,41691,41580,44091,45557,48735
107429.7891,41706,41687,41574,44086,45551,48712
108443.7909,41735,41684,41570,44088,45559,48729
109459.7928,41701,41697,41575,44093,45561,48729
110473.7946,41727,41683,41579,44088,45568,48740
111487.7964,41758,41692,41574,44095,45558,48728
112501.7981,41740,41704,41575,44095,45561,48733
113515.7999,41764,41713,41580,44098,45559,48730
114529.8017,41735,41698,41580,44098,45559,48725
115543.8035,41768,41698,41581,44094,45550,48727
116557.8053,41713,41681,41579,44097,45557,48727
117571.807,41759,41663,41543,44084,45556,48730
118585.8088,41699,41684,41579,44093,45562,48731
119599.8106,41707,41697,41579,44085,45567,48743
120613.8124,41748,41700,41578,44076,45561,48723
121627.8142,41710,41697,41577,44080,45560,48733
122641.816,41753,41694,41570,44065,45561,48719
123655.8177,41703,41708,41579,44085,45572,48728
124669.8195,41759,41702,41579,44090,45564,48727
125683.8213,41752,41676,41550,44076,45556,48722
126697.8231,41782,41697,41570,44086,45560,48730
127711.8249,41728,41696,41575,44079,45572,48726
128725.8266,41733,41705,41576,44087,45567,48734
129739.8284,41721,41702,41587,44088,45564,48729
130753.8302,41746,41709,41581,44084,45555,48721
131767.832,41743,41686,41587,44088,45568,48743
132781.8338,41757,41669,41575,44076,45566,48727
133795.8355,41736,41702,41581,44086,45563,48719
134809.8373,41789,41669,40962,43523,45437,48656
135823.8391,41752,41711,41576,44091,45564,48732
136837.8409,41769,41706,41580,44080,45561,48721
137851.8427,41725,41699,41576,44084,45542,48717
138865.8445,41737,41687,41576,44086,45545,48720
139879.8462,41747,41657,41563,44014,45446,48691
140893.848,41743,41685,41574,44082,45548,48722
141910.85,41694,41681,41561,44063,45526,48692
142924.8517,41709,41674,41569,44091,45556,48713
143938.8535,41750,41664,41542,44068,45511,48674
144952.8553,41753,41694,41573,44084,45550,48715
145966.8571,41732,41703,41577,44088,45559,48718
146980.8589,41759,41702,41574,44093,45555,48711
147994.8607,41730,41678,41558,44085,45552,48707
149008.8624,41746,41699,41571,44089,45559,48714
150022.8642,41697,41695,41564,44088,45553,48717
151036.866,41693,41676,41553,44083,45562,48725
152050.8678,41714,41707,41571,44087,45564,48722
153064.8696,41700,41691,41581,44091,45562,48714
154078.8713,41754,41673,41564,44059,45562,48722
155092.8731,41676,41698,41575,44101,45566,48721
156106.8749,41724,41694,41584,44095,45572,48729
157120.8767,41682,41660,41534,44075,45537,48687
158134.8785,41751,41697,41566,44092,45564,48727
159148.8802,41675,41695,41571,44078,45564,48735
160162.882,41762,41689,41568,44089,45567,48723
161176.8838,41742,41674,41556,44094,45576,48739
162190.8856,41691,41686,41573,44090,45558,48728
163204.8874,41676,41656,41570,44096,45572,48731
164218.8891,41746,41685,41577,44090,45560,48730
165232.8909,41685,41657,41543,44085,45559,48715
166246.8927,41720,41681,41556,44079,45540,48715
169288.8981,41724,41669,41544,44064,45561,48727
170302.8998,41749,41704,41592,44104,45575,48724
171316.9016,41751,41684,41568,44086,45579,48722
172330.9034,41767,41687,41574,44094,45572,48731
173344.9052,41735,41691,41567,44098,45559,48727
174358.907,41764,41683,41577,44105,45574,48743
175374.9089,41742,41689,41580,44099,45570,48726
176388.9106,41755,41666,41548,44070,45528,48691
177402.9124,41766,41685,41573,44085,45570,48728
178416.9142,41747,41683,41576,44105,45580,48739
179430.916,41745,41678,41568,44091,45557,48709
180444.9178,41721,41680,41577,44096,45564,48711
181458.9195,41690,41689,41562,44082,45551,48701
182472.9213,41747,41687,41572,44099,45571,48726
183486.9231,41702,41689,41575,44082,45559,48720
184500.9249,41767,41690,41567,44085,45558,48709
185514.9267,41752,41682,41572,44077,45558,48706
186528.9284,41730,41675,41556,44077,45552,48697
187542.9302,41708,41691,41576,44090,45548,48705
188556.932,41708,41689,41560,44080,45549,48706
189570.9338,41725,41686,41577,44082,45556,48721
190584.9356,41766,41690,41585,44091,45574,48733
191598.9373,41731,41694,41566,44082,45558,48715
192612.9391,41716,41676,41575,44085,45562,48720
193626.9409,41764,41688,41566,44089,45553,48715
194640.9427,41754,41678,41580,44080,45545,48701
195654.9445,41771,41687,41577,44084,45563,48724
196668.9463,41778,41689,41582,44097,45557,48710
197682.948,41701,41690,41575,44082,45549,48705
198696.9498,41692,41668,41544,44090,45565,48719
199710.9516,41724,41698,41584,44091,45560,48711
200724.9534,41767,41668,41545,44063,45526,48663
203766.9587,41748,41678,41572,44077,45551,48705
204780.9605,41723,41699,41578,44078,45541,48694
205794.9623,41713,41698,41570,44084,45551,48699
206808.9641,41758,41689,41567,44063,45553,48704
207824.966,41740,41700,41572,44091,45551,48694
208838.9677,41722,41675,41575,44085,45551,48704
209852.9695,41701,41674,41566,44099,45559,48713
210866.9713,41770,41693,41583,44090,45558,48716
211880.9731,41767,41708,41579,44081,45562,48706
212894.9749,41768,41686,41554,44066,45524,48691
213908.9766,41770,41687,41555,44067,45526,48678
214922.9784,41759,41700,41585,44097,45553,48702
215936.9802,41727,41678,41576,44061,45540,48707
216950.982,41758,41674,41577,44086,45553,48699
217964.9838,41710,41699,41580,44067,45549,48704
218978.9855,41758,41693,41584,44084,45562,48706
219992.9873,41756,41701,41578,44087,45556,48704
221006.9891,41703,41693,41573,44091,45562,48712
222020.9909,41754,41687,41577,44081,45555,48707
223034.9927,41754,41693,41577,44086,45555,48709
224048.9945,41708,41706,41579,44093,45556,48709
225062.9962,41784,41694,41576,44096,45558,48713
226076.998,41733,41709,41588,44100,45570,48720
227090.9998,41723,41702,41579,44082,45558,48707
228105.0016,41721,41682,41581,44084,45547,48700
229119.0034,41718,41679,41555,44059,45511,48689
230133.0051,41724,41696,41579,44076,45533,48702
231147.0069,41737,41677,41572,44072,45534,48694
232161.0087,41754,41695,41580,44087,45544,48693
233175.0105,41714,41691,41580,44089,45556,48697
234189.0123,41712,41692,41577,44070,45534,48685
235203.014,41719,41696,41573,44074,45548,48692
236217.0158,41791,41716,41574,44061,45543,48685
237231.0176,41781,41691,41573,44059,45540,48689
238245.0194,41709,41726,41575,44061,45539,48692
239259.0212,41745,41706,41543,44048,45511,48669
240273.023,41753,41706,41574,44095,45543,48681
241276.425,41790,41732,41571,44067,45521,48663
242290.4268,41807,41721,41570,44071,45530,48669
243304.4286,41713,41690,41548,44071,45531,48675
244318.4303,41783,41723,41564,44075,45528,48662
245332.4321,41779,41717,41573,44071,45535,48672
246346.4339,41812,41720,41575,44085,45532,48689
247360.4357,41755,41729,41569,44080,45536,48684
248374.4375,41751,41723,41577,44077,45528,48673
249388.4392,41723,41705,41561,44070,45528,48680
250402.441,41736,41710,41572,44084,45529,48665
251416.4428,41786,41730,41586,44084,45541,48679
252430.4446,41762,41720,41576,44088,45538,48682
255472.4499,41789,41701,41569,44088,45548,48681
256486.4517,41732,41710,41583,44072,45541,48669
257500.4535,41730,41727,41581,44075,45548,48686
258514.4553,41784,41729,41589,44097,45542,48689
259528.457,41791,41733,41576,44086,45532,48681
260542.4588,41719,41734,41577,44066,45540,48676
261556.4606,41723,41736,41582,44086,45537,48686
262570.4624,41749,41714,41553,44075,45534,48679
266626.4695,41784,41739,41582,44082,45534,48667
267640.4713,41748,41725,41579,44079,45539,48679
268654.4731,41771,41709,41577,44087,45553,48693
269668.4749,41770,41714,41545,44072,45544,48685
270682.4766,41728,41733,41560,44078,45510,48674
271696.4784,41761,41714,41555,44090,45542,48692
272710.4802,41766,41727,41580,44091,45538,48685
273726.4821,41808,41744,41587,44113,45545,48680
274740.4839,41788,41739,41589,44090,45548,48698
275754.4857,41714,41729,41580,44092,45532,48683
276768.4874,41757,41721,41586,44087,45532,48679
277782.4892,41774,41721,41576,44074,45541,48694
280826.4947,41773,41717,41559,44065,45521,48687
281841.4965,41741,41720,41564,44078,45530,48684
282850.5283,41743,41711,41554,44074,45523,48698
