Timestamp, Pad 0, Pad 1, Pad 2, Pad 3, Pad 4, Pad 5
-49904.9306,2434,2841,38288,38696,2993,4810
-49211.8909,43469,44039,43431,45980,46619,50639
-48200.8331,43399,44028,43427,45988,46609,50643
-47187.7752,43427,44045,43436,45972,46617,50646
-46173.7172,43388,44046,43444,45976,46617,50638
-45159.6592,43466,44052,43436,45969,46627,50653
-44145.6012,43414,44046,43444,45989,46626,50666
-43129.543,43479,44035,43442,45973,46617,50655
-42117.4851,43414,44052,43428,45977,46622,50651
-41104.4272,43411,44044,43427,45984,46606,50648
-40090.3692,43427,44053,43436,45977,46611,50650
-39076.3112,43440,44051,43436,45975,46619,50654
-38061.2531,43460,44061,43451,45988,46632,50664
-37048.1952,43447,44050,43435,45981,46615,50650
-36033.1371,43400,44056,43437,45984,46627,50659
-35020.0792,43437,44038,43431,45978,46620,50653
-34006.0212,43446,44049,43440,45980,46632,50652
-32990.9631,43460,44048,43452,45988,46628,50648
-31978.9053,43478,44046,43441,45979,46629,50659
-30962.8471,43448,44053,43453,45998,46630,50660
-29950.7893,43404,44049,43442,45985,46621,50656
-28936.7313,43475,44053,43446,45998,46621,50652
-27921.6732,43441,44049,43441,45987,46618,50654
-26907.6152,43471,44052,43445,45972,46628,50662
-25893.5572,43479,44056,43451,45990,46636,50663
-24879.4992,43415,44057,43462,45990,46634,50653
-23866.4412,43448,44040,43438,45985,46625,50648
-22851.3832,43428,44038,43436,45986,46634,50662
-21838.3252,43458,44045,43445,45994,46644,50664
-20824.2672,43425,44043,43444,45979,46619,50647
-19810.2092,43439,44053,43449,46003,46628,50664
-18795.1512,43422,44044,43435,45975,46608,50648
-17782.0932,43447,44053,43446,45986,46627,50648
-16767.0352,43400,44033,43439,45973,46605,50641
-15753.9772,43465,44051,43454,45984,46616,50656
-14738.9192,43497,44054,43442,45987,46623,50660
-13724.8612,43451,44043,43439,45994,46616,50648
-12710.8032,43461,44047,43436,45985,46609,50657
-11697.7452,43476,44048,43441,45986,46603,50645
-10684.6873,43459,44050,43437,45979,46616,50665
-9670.6293,43466,44049,43439,45991,46607,50646
-8656.5713,43425,44053,43440,45993,46614,50660
-7642.5133,43449,44055,43441,45994,46603,50645
-6628.4553,43439,44036,43443,45991,46594,50635
-5614.3973,43420,44043,43445,45989,46607,50647
-4599.3392,43476,44037,43444,45992,46615,50650
-3585.2812,43434,44031,43440,46005,46603,50656
-2572.2233,43416,44048,43445,46000,46609,50656
-1558.1653,43424,44047,43432,45990,46608,50661
-544.1073,43496,44046,43435,45989,46601,50658
469.9507,43446,44040,43443,45992,46616,50659
1484.0087,43473,44050,43429,45983,46616,50663
2498.0667,43484,44045,43450,45995,46612,50659
3512.1247,43422,44043,43434,45992,46601,50651
4527.1828,43441,44035,43443,45983,46620,50674
5868.2595,43461,44050,43437,45993,46619,50662
6554.2987,43433,44049,43437,45988,46605,50651
7569.3568,43509,44054,43443,45992,46608,50656
8583.4148,43423,44050,43451,46012,46624,50667
9598.4728,43480,44055,43449,45987,46607,50658
10616.5311,43426,44045,43441,45987,46620,50671
11625.5888,43431,44048,43437,45992,46603,50647
