Timestamp, Pad 0, Pad 1, Pad 2, Pad 3, Pad 4, Pad 5
13119.623,43011,43889,42508,44988,45719,49728
14118.0248,43045,43898,42513,44993,45725,49719
15132.0266,42978,43885,42500,44980,45715,49718
16146.0283,43041,43857,42501,44996,45718,49722
17160.0301,43038,43450,42588,44972,46564,51034
18174.0319,43048,43397,42554,44908,46477,51001
19188.0337,43025,43403,42582,44909,46415,51020
20202.0355,43041,43374,42483,45252,45511,50497
21216.0373,43034,43402,42509,45262,45511,50489
22230.039,43004,43396,42508,45277,45520,50444
23244.0408,43112,43638,42485,45342,45544,49790
24258.0426,43789,44282,43474,46021,46741,51114
25272.0444,43813,44278,43466,46015,46721,51107
26284.4465,43813,44282,43474,46021,46741,51114
54672.4967,43813,39029,43474,46021,46741,47502
55686.4985,41652,41547,40775,43008,44381,47489
56700.5003,41717,41513,40696,42970,44358,47498
57714.5021,41693,41648,41542,44067,45556,48713
58728.5038,41689,41720,41604,44102,45562,48718
59742.5056,41705,41712,41591,44102,45557,48704
60756.5074,41713,41713,41584,44085,45547,48712
61770.5092,41712,41708,41577,44092,45547,48707
62784.511,41715,41697,41576,44083,45533,48690
63798.5127,41694,41692,41566,44076,45527,48696
64812.5145,41705,41688,41579,44085,45537,48714
65826.5163,41691,41695,41572,44090,45548,48707
66840.5181,41701,41684,41566,44083,45531,48693
67854.5199,41683,41690,41563,44067,45528,48699
68868.5216,41700,41677,41561,44059,45533,48705
69882.5234,41757,41685,41563,44064,45523,48694
70896.5252,41670,41669,41564,44068,45541,48707
71910.527,41720,41688,41570,44067,45539,48703
72924.5288,41742,41689,41560,44062,45525,48699
73938.5306,41658,41671,41563,44085,45530,48698
74952.5323,41675,41676,41566,44077,45531,48699
75966.5341,41742,41674,41558,44079,45531,48696
76980.5359,41707,41677,41569,44077,45531,48698
77994.5377,41735,41681,41568,44071,45535,48702
79008.5395,41671,41654,41556,44086,45526,48711
80022.5412,41697,41663,41557,44073,45521,48709
81036.543,41681,41672,41571,44078,45532,48703
82050.5448,41691,41663,41564,44075,45528,48714
83064.5466,41701,41669,41556,44067,45533,48705
84080.5485,41728,41663,41556,44070,45524,48702
85094.5503,41657,41665,41561,44065,45516,48689
86108.552,41672,41674,41563,44076,45533,48721
87122.5538,41683,41660,41560,44073,45525,48698
88136.5556,41688,41672,41558,44075,45519,48702
89150.5574,41678,41661,41560,44075,45528,48702
90164.5592,41671,41662,41562,44083,45525,48700
91178.5609,41737,41670,41557,44061,45530,48705
92192.5627,41722,41663,41557,44072,45521,48702
93206.5645,41689,41667,41558,44079,45530,48703
94220.5663,41713,41678,41556,44074,45536,48704
95234.5681,41673,41673,41559,44077,45529,48703
96248.5698,41693,41674,41558,44061,45525,48702
97262.5716,41685,41675,41565,44076,45526,48708
98276.5734,41692,41648,41559,44075,45536,48710
99290.5752,41747,41681,41568,44079,45528,48709
100304.577,41706,41667,41561,44085,45535,48701
101318.5788,41754,41684,41576,44081,45532,48705
102332.5805,41731,41673,41563,44086,45540,48712
103346.5823,41755,41674,41561,44070,45531,48715
104360.5841,41698,41669,41558,44074,45529,48706
105374.5859,41694,41672,41559,44068,45532,48720
106388.5877,41730,41669,41564,44083,45528,48704
107402.5894,41661,41677,41560,44068,45537,48707
108416.5912,41669,41687,41564,44067,45530,48701
109430.593,41725,41663,41562,44070,45531,48707
110444.5948,41705,41669,41561,44085,45541,48713
111458.5966,41692,41670,41560,44077,45544,48720
112472.5983,41725,41668,41560,44061,45525,48713
113488.6002,41736,41677,41569,44091,45551,48719
114502.602,41741,41679,41556,44083,45535,48712
115516.6038,41742,41680,41561,44069,45540,48710
116530.6056,41679,41653,41559,44059,45521,48701
117544.6074,41654,41654,41557,44071,45536,48712
118558.6091,41689,41688,41562,44082,45527,48706
119572.6109,41664,41671,41559,44069,45528,48714
120586.6127,41739,41683,41558,44080,45531,48715
121600.6145,41675,41677,41555,44071,45525,48709
122614.6163,41728,41677,41558,44079,45528,48701
123628.618,41663,41672,41556,44071,45547,48710
124642.6198,41715,41682,41560,44078,45546,48716
125656.6216,41718,41675,41567,44079,45545,48704
126670.6234,41681,41669,41558,44073,45535,48701
127684.6252,41713,41686,41554,44081,45546,48704
128698.627,41699,41668,41551,44080,45538,48700
129712.6287,41737,41686,41564,44086,45558,48715
130726.6305,41733,41682,41558,44077,45541,48707
131740.6323,41699,41679,41562,44085,45555,48713
132754.6341,41712,41681,41567,44086,45545,48718
133768.6359,41689,41685,41570,44087,45550,48725
134782.6376,41728,41677,41566,44089,45546,48724
135796.6394,41713,41677,41556,44088,45538,48717
136810.6412,41731,41674,41570,44086,45547,48725
137824.643,41718,41679,41561,44086,45542,48715
138838.6448,41716,41687,41569,44094,45550,48722
139852.6465,41685,41672,41567,44086,45541,48723
140866.6483,41677,41681,41570,44095,45549,48728
141880.6501,41748,41683,41562,44081,45549,48717
142894.6519,41708,41680,41560,44088,45545,48721
143910.6538,41735,41677,41561,44078,45543,48711
144924.6556,41694,41680,41578,44095,45547,48711
145938.6573,41702,41673,41565,44096,45538,48703
146952.6591,41683,41671,41569,44099,45554,48721
147966.6609,41731,41681,41563,44081,45550,48711
148980.6627,41723,41674,41558,44101,45555,48723
149994.6645,41727,41678,41564,44099,45553,48718
151008.6663,41671,41675,41566,44091,45545,48716
152022.668,41702,41688,41566,44088,45550,48713
153036.6698,41754,41680,41564,44095,45541,48708
154050.6716,41746,41674,41564,44091,45543,48718
155064.6734,41701,41676,41563,44101,45555,48722
156078.6752,41747,41676,41566,44095,45540,48722
157087.0775,41729,41669,41561,44101,45546,48719
158102.4802,41685,41667,41569,44091,45540,48709
159122.0944,41675,41664,41572,44091,45549,48718
160121.4962,41739,41679,41581,44097,45544,48717
161135.498,41695,41672,41574,44100,45553,48726
162152.3536,41699,41690,41572,44103,45561,48725
163167.4116,41739,41684,41579,44105,45565,48730
164183.8144,41716,41690,41573,44091,45546,48712
165197.8162,41703,41676,41565,44102,45552,48728
166211.818,41743,41676,41563,44093,45545,48719
167225.8198,41724,41687,41574,44094,45539,48715
168239.8215,41733,41685,41571,44101,45542,48710
169253.8233,41755,41680,41582,44096,45558,48725
170267.8251,41675,41671,41569,44098,45542,48708
171281.8269,41681,41661,41568,44093,45545,48717
172295.8287,41694,41686,41575,44101,45548,48716
173309.8304,41687,41683,41574,44091,45558,48726
174323.8322,41704,41682,41570,44091,45546,48716
175337.834,41694,41685,41572,44098,45550,48722
176351.8358,41689,41690,41576,44096,45554,48722
177365.8376,41699,41687,41572,44100,45565,48717
178381.8395,41682,41679,41575,44090,45554,48722
179395.8412,41675,41678,41573,44096,45558,48719
180409.843,41742,41691,41581,44098,45558,48727
181423.8448,41746,41674,41575,44102,45554,48718
182440.8468,41732,41692,41579,44099,45554,48722
183454.8485,41743,41672,41574,44100,45551,48730
184468.8503,41712,41674,41572,44097,45551,48719
185482.8521,41681,41682,41577,44099,45548,48720
186488.4655,41668,41671,41575,44091,45551,48720
187513.4679,41718,41682,41579,44093,45563,48732
188516.6717,41680,41680,41580,44105,45547,48728
189529.7296,41733,41680,41587,44109,45566,48737
190556.5858,41739,41682,41573,44093,45560,48732
191566.1951,41682,41680,41593,44115,45563,48742
192580.1969,41677,41675,41579,44091,45552,48724
193594.1986,41726,41684,41589,44096,45569,48737
194608.2004,41705,41682,41577,44094,45559,48735
195622.2022,41695,41684,41578,44113,45566,48734
196628.8503,41674,41682,41582,44099,45562,48727
197650.9087,41708,41677,41576,44102,45553,48725
198667.5184,41693,41690,41588,44104,45558,48727
199681.5202,41713,41679,41580,44105,45552,48721
200695.522,41677,41682,41577,44098,45547,48718
201709.5238,41696,41685,41585,44106,45555,48724
202723.5256,41717,41684,41592,44110,45574,48727
203726.9708,41742,41692,41585,44095,45570,48728
204742.0289,41714,41684,41578,44094,45555,48727
205760.8413,41691,41699,41582,44090,45555,48722
206774.8431,41665,41692,41581,44094,45557,48721
207789.2544,41747,41698,41583,44093,45548,48719
208806.2564,41728,41685,41590,44094,45557,48728
209820.2582,41725,41685,41588,44102,45560,48722
210834.26,41743,41699,41587,44110,45562,48726
211848.2617,41678,41694,41584,44108,45564,48730
212862.2635,41743,41700,41585,44102,45556,48733
213876.2653,41677,41681,41582,44103,45555,48721
214890.2671,41747,41676,41585,44111,45562,48727
215904.2689,41674,41688,41583,44113,45558,48728
216918.2706,41740,41667,41580,44105,45561,48741
217932.2724,41711,41686,41585,44111,45568,48732
218946.2742,41710,41686,41583,44111,45559,48722
219960.276,41718,41692,41581,44105,45563,48726
