Timestamp, Pad 0, Pad 1, Pad 2, Pad 3, Pad 4, Pad 5
2263252.4506,41860,42263,41225,44104,44979,47567
2264027.4949,41874,42270,41227,44111,44986,47569
2265040.5529,41813,42254,41227,44116,44984,47571
2266057.6111,41895,42271,41237,44113,44978,47559
2267072.6691,41581,41929,40591,43113,43891,46441
2268080.7268,41776,42191,41064,43185,43878,46293
2269094.7848,41839,42240,41191,43952,43912,46287
2270107.8427,41799,42222,41182,43856,43878,46291
2271122.9008,41855,42237,41185,43834,43866,46284
2272139.9589,41795,42226,41174,43757,43861,46278
2273154.0169,41814,42249,41217,44101,44989,47574
2274165.0748,41878,42263,41225,44107,44999,47585
2275179.1328,41895,42265,41220,44095,44980,47564
2276193.1908,41887,42265,41219,44092,44977,47566
2277208.2488,41849,42260,41227,44098,44979,47558
2278937.3477,41868,42252,41211,44091,44973,47556
2279594.3853,41844,42216,41187,44023,44845,47390
2280606.4432,41823,42246,41214,44104,44969,47561
2281622.5013,41871,42254,41222,44084,44977,47563
2282636.5593,41868,42249,41216,44081,44966,47545
2283649.6173,41837,42246,41207,44081,44951,47525
2284665.6754,41832,42251,41219,44087,44955,47543
2285677.7333,41864,42254,41205,44069,44941,47523
2286692.7913,41828,42236,41201,44068,44934,47512
2287705.8493,41864,42236,41207,44077,44947,47532
2288719.9073,41726,42156,41057,43623,43931,46310
2289734.9653,41752,42199,41120,43736,43961,46314
2290748.0233,41822,42220,41138,43838,44046,46326
2291771.0818,41789,42204,41123,43761,43965,46300
2293717.1931,41796,42190,41092,43620,43897,46307
2294293.226,41819,42235,41207,44075,44960,47556
2295304.2839,41842,42255,41207,44087,44962,47553
2296317.3418,41838,42242,41214,44078,44950,47555
2297331.3998,41852,42251,41207,44075,44947,47545
2298345.4578,41866,42234,41194,44071,44946,47537
2299358.5158,41820,42242,41201,44078,44953,47542
2300373.5738,41851,42239,41193,44064,44935,47522
2301388.6319,41858,42232,41183,44059,44928,47508
2302401.6898,41802,42230,41186,44064,44931,47506
2303415.7478,41791,42204,41161,43860,43920,46245
2304429.8058,41808,42204,41156,43773,43882,46246
2305442.8638,41806,42191,41154,43768,43882,46241
2306456.9218,41794,42195,41150,43766,43888,46254
2307471.9798,41846,42194,41148,43771,43893,46251
2308484.0377,41810,42179,41085,43494,43906,46332
2309500.0958,41737,42090,40910,43355,43892,46339
2310515.1539,41649,42001,40826,43256,43806,46252
2311528.2118,41654,42046,40893,43260,43812,46236
2312543.2699,41691,42107,40966,43335,43841,46258
2313555.3278,41708,42097,40965,43359,43870,46275
2314569.3858,41726,42102,40962,43344,43867,46284
2315583.4438,41731,42098,40968,43350,43869,46275
2316597.5018,41825,42165,41132,43744,43941,46271
2317611.5598,41817,42161,41134,43757,43931,46260
2318626.6178,41770,42167,41127,43747,43933,46266
2319640.6758,41806,42212,41183,44048,44925,47508
2320653.7338,41792,42205,41177,44044,44928,47511
2321666.7917,41808,42219,41183,44043,44920,47501
2322682.8498,41848,42216,41176,44046,44935,47515
2323694.9077,41819,42213,41162,44041,44922,47501
2324708.9657,41860,42206,41180,44046,44932,47498
2325723.0237,41840,42177,41157,43928,44196,46385
2326736.0817,41800,42166,41146,43912,44185,46385
2327752.1398,41770,42176,41145,43905,44194,46386
2329308.2288,41838,42206,41166,44036,44923,47503
2330121.2753,41824,42194,41168,44035,44922,47502
2331136.3333,41837,42201,41168,44036,44924,47511
2332151.3914,41827,42205,41166,44038,44925,47506
2333165.4494,41821,42177,41171,44023,44894,47412
2334179.5074,41804,42167,41162,44017,44862,47322
2335191.5653,41778,42170,41169,44018,44872,47344
2336206.6233,41781,42174,41163,44017,44869,47331
2337220.6814,41767,42154,41148,43936,44211,46233
2338236.7395,41764,42186,41135,43897,43944,46207
2339248.7974,41809,42173,41140,43893,43887,46207
2340262.8554,41795,42170,41138,43895,43888,46212
2341277.9134,41760,42179,41144,43905,43916,46224
2342290.9714,41795,42200,41163,44033,44921,47496
2343304.0293,41809,42205,41161,44027,44914,47498
2344319.0874,41804,42198,41157,44032,44916,47500
2345334.1454,41762,42190,41162,44026,44903,47485
2346349.2035,41769,42166,41109,43699,43793,46189
2347361.2614,41790,42151,41099,43683,43793,46191
2348374.3193,41765,42156,41116,43758,43815,46207
