Timestamp, Pad 0, Pad 1, Pad 2, Pad 3, Pad 4, Pad 5
28590.6353,0,0,0,0,0,0
38409.1969,43177,43769,43124,45630,46253,50709
39420.2547,43147,43780,43122,45623,46242,50699
40435.3127,43206,43784,43120,45637,46238,50692
41448.3707,43144,43764,43118,45648,46240,50690
42462.4287,43201,43773,43120,45635,46233,50691
43476.4867,43175,43771,43139,45645,46244,50704
44490.5447,43158,43768,43135,45643,46213,50695
45504.6027,43159,43772,43126,45631,46234,50689
46518.6607,43135,43765,43130,45658,46243,50708
47531.7186,43177,43781,43137,45657,46240,50714
48545.7766,43135,43769,43124,45657,46237,50696
49559.8346,43107,43780,43136,45664,46238,50692
50573.8926,43142,43779,43124,45636,46227,50689
51587.9506,43172,43778,43125,45653,46247,50699
52602.0086,43120,43789,43133,45651,46233,50693
53616.0666,43199,43774,43131,45645,46235,50687
54630.1246,43167,43770,43133,45652,46244,50707
55644.1826,43141,43779,43135,45634,46226,50685
56660.2408,43164,43774,43140,45649,46248,50692
57672.2986,43169,43761,43127,45653,
