Timestamp, Pad 0, Pad 1, Pad 2, Pad 3, Pad 4, Pad 5
3042.0054,41834,41844,41671,44206,45677,48805
4009.2071,41823,41836,41662,44214,45676,48809
5023.2089,41856,41845,41698,44230,45692,48850
6037.2106,41848,41864,41709,44224,45696,48829
7051.2124,41854,41844,41695,44223,45692,48826
8065.2142,41890,41851,41699,44218,45693,48826
9079.216,41825,41846,41691,44207,45681,48836
10093.2178,41853,41849,41700,44224,45705,48838
11107.2195,41826,41851,41703,44209,45685,48822
14149.2249,41796,41832,41667,44186,45647,48795
21247.2373,41879,41866,41705,44219,45699,48852
22261.2391,41849,41838,41690,44210,45672,48809
23275.2409,41787,41813,41679,44187,44964,47605
24289.2427,41826,41789,41108,43197,44580,47590
25303.2445,41820,41651,40726,43190,44586,47600
26317.2463,41741,40905,40722,43179,44581,47595
27331.248,40908,40782,40704,43159,44582,47596
28345.2498,40874,40811,40718,43186,44599,47611
29359.2516,40928,40797,40693,43168,44599,47599
30373.2534,40962,40819,40715,43189,44598,47618
31387.2552,41803,41800,41250,43238,44610,47631
32401.2569,41791,41819,41687,43524,44636,47633
33415.2587,41791,41844,41683,44186,44710,47635
43551.9856,41765,41812,41667,44181,45431,47621
44567.0012,41807,41814,41683,44195,45662,47854
45578.8108,41890,39411,41698,44216,45670,47895
46597.8127,41822,41859,41719,44236,45687,47939
47611.8144,41834,41865,41710,44237,45694,47955
80058.3268,41890,39477,35084,44237,45714,48499
81072.3286,41877,41907,41745,44250,45711,48489
82086.3304,41878,41845,41703,44222,45693,48481
83102.3322,41861,41885,41733,44254,45721,48489
84111.3554,41837,41883,41739,44263,45738,48506
85132.1809,41892,41893,41726,44252,45720,48498
86141.7945,41853,41879,41746,44257,45728,48512
87155.7963,41859,41881,41731,44240,45718,48490
88170.7981,41899,41877,41735,44248,45736,48506
89184.7999,41888,41876,41737,44247,45719,48493
90199.8018,41872,41895,41730,44253,45713,48502
91214.8036,41830,41887,41747,44254,45730,48520
92228.8054,41856,41890,41740,44249,45718,48499
93244.8073,41843,41882,41736,44252,45724,48502
94255.0114,41901,41880,41739,44258,45728,48511
95269.0132,41850,41890,41746,44253,45736,48521
96284.0151,41835,41885,41731,44250,45721,48509
97298.0168,41867,41887,41733,44264,45736,48523
98312.0186,41882,41879,41750,44249,45736,48520
99326.0204,41863,41855,41712,44253,45725,48499
100340.0222,41881,41897,41751,44265,45731,48503
101354.024,41865,41870,41734,44255,45734,48522
102368.0257,41840,41886,41740,44258,45722,48505
103382.0275,41861,41892,41739,44261,45730,48513
104396.0293,41824,41870,41726,44254,45723,48480
105410.0311,41865,41843,41678,43259,44640,47655
106424.0329,41800,40878,40756,43220,44634,47644
107438.0346,40994,40843,40742,43229,44641,47652
108452.0364,40917,40851,40746,43236,44628,47648
109463.4389,41279,40893,40760,43220,44621,47638
110477.4407,41785,40893,40759,43233,44634,47643
111491.4425,41713,40856,40760,43224,44636,47640
112506.4443,41600,40877,40758,43220,44623,47646
113514.8467,41405,40863,40750,43227,44642,47659
114528.8484,41317,40865,40755,43227,44633,47653
115545.2512,41844,41657,40801,43239,44636,47661
116559.253,41838,41857,41667,43303,44660,47660
117573.2548,41903,41877,41713,44103,44677,47663
118587.2566,41905,41884,41723,44241,44966,47660
119601.2583,41889,41891,41731,44238,45319,47664
120615.2601,41925,41888,41743,44259,45555,47702
121629.2619,41922,41892,41740,44248,45660,47728
122643.2637,41911,41895,41739,44261,45722,47812
123657.2655,41863,41904,41745,44261,45731,47891
124671.2672,41901,41893,41748,44256,45723,47940
125685.269,41922,41889,41713,44245,45723,48018
126699.2708,41932,41909,41746,44269,45739,48077
127713.2726,41855,41902,41748,44270,45733,48122
128727.2744,41888,41894,41753,44263,45734,48178
129741.2761,41880,41895,41756,44267,45732,48218
130755.2779,41917,41919,41751,44271,45757,48265
131769.2797,41860,41922,41745,44273,45742,48288
132783.2815,41884,41920,41746,44268,45743,48298
133797.2833,41896,41908,41747,44272,45729,48307
134811.2851,41910,41910,41755,44276,45737,48333
135825.2868,41907,41910,41754,44280,45754,48369
136839.2886,41938,41916,41755,44265,45748,48364
137853.2904,41858,41908,41743,44267,45736,48408
138867.2922,41941,41913,41760,44273,45756,48418
139881.294,41880,41913,41761,44277,45749,48434
140895.2957,41885,41916,41748,44276,45737,48413
141909.2975,41888,41910,41758,44278,45747,48431
142923.2993,41886,41922,41749,44264,45735,48427
143937.3011,41935,41911,41759,44284,45754,48447
144951.3029,41905,41915,41755,44264,45739,48456
145965.3046,41919,41910,41748,44263,45746,48472
146979.3064,41925,41904,41751,44275,45751,48478
147993.3082,41891,41924,41749,44271,45757,48486
149007.31,41953,41910,41762,44285,45759,48502
150021.3118,41895,41910,41752,44289,45750,48496
151035.3136,41934,41913,41759,44279,45751,48493
152049.3153,41884,41923,41771,44285,45756,48511
153063.3171,41890,41911,41759,44275,45748,48505
154077.3189,41914,41907,41754,44269,45742,48508
155091.3207,41955,41900,41758,44273,45740,48501
156105.3225,41892,41905,41761,44275,45750,48524
157119.3242,41909,41908,41764,44288,45757,48505
158133.326,41927,41906,41758,44271,45734,48507
159147.3278,41950,41912,41752,44281,45736,48501
160161.3296,41948,41913,41761,44276,45744,48512
161175.3314,41877,41909,41761,44280,45736,48510
162189.3331,41915,41908,41769,44286,45760,48523
163203.3349,41932,41913,41761,44278,45747,48517
164217.3367,41886,41907,41759,44284,45743,48511
165231.3385,41921,41911,41760,44282,45739,48506
166245.3403,41929,41920,41765,44283,45747,48518
167259.342,41911,41913,41759,44277,45740,48516
168273.3438,41924,41927,41766,44295,45745,48521
169287.3456,41907,41910,41772,44289,45763,48538
170301.3474,41875,41924,41766,44279,45753,48528
171315.3492,41899,41920,41769,44273,45748,48527
172329.351,41927,41913,41764,44276,45750,48525
173343.3527,41874,41921,41766,44280,45749,48535
174357.3545,41886,41918,41758,44275,45747,48523
175371.3563,41927,41931,41766,44278,45757,48528
176385.3581,41937,41924,41763,44277,45746,48520
177399.3599,41888,41920,41767,44274,45747,48522
178413.3616,41930,41921,41754,44283,45753,48533
179427.3634,41933,41920,41762,44284,45758,48535
180441.3652,41951,41906,41760,44292,45747,48526
181455.367,41922,41907,41759,44283,45752,48532
182469.3688,41884,41911,41765,44283,45746,48537
183483.3705,41935,41908,41768,44286,45750,48535
184497.3723,41930,41914,41761,44292,45760,48555
185511.3741,41912,41930,41765,44286,45747,48545
186525.3759,41902,41924,41763,44286,45748,48555
187539.3777,41930,41923,41765,44276,45751,48550
188553.3794,41901,41932,41761,44279,45752,48559
189567.3812,41910,41938,41768,44284,45767,48559
190581.383,41897,41946,41765,44287,45751,48554
191595.3848,41882,41931,41766,44292,45757,48553
192609.3866,41970,41918,41759,44280,45760,48550
193623.3884,41902,41925,41762,44288,45751,48558
194637.3901,41958,41921,41771,44286,45761,48557
195651.3919,41940,41911,41764,44273,45752,48560
196665.3937,41936,41922,41768,44289,45757,48566
197679.3955,41900,41912,41771,44289,45752,48563
