Timestamp, Pad 0, Pad 1, Pad 2, Pad 3, Pad 4, Pad 5
2131.6039,41893,41886,41746,44252,45702,48370
3020.8055,41897,41877,41740,44244,45706,48380
4034.8072,41885,41891,41741,44242,45689,48367
5048.809,41865,41875,41744,44250,45692,48386
6062.8108,41855,41801,41583,43267,44615,47620
7076.8126,41808,40934,40771,43232,44615,47618
8097.7147,41782,40863,40763,43224,44607,47619
9101.1165,41542,40843,40758,43225,44611,47614
10115.1183,41241,40850,40762,43207,44592,47603
11131.0203,41850,41823,41674,43375,44616,47608
12145.0221,41868,41857,41732,43910,44637,47621
13159.0239,41855,41871,41729,44229,44770,47623
14173.0257,41917,41877,41731,44230,45162,47636
15187.0274,41841,41878,41742,44240,45472,47651
16201.0292,41870,41880,41733,44229,45610,47672
17215.031,41868,41879,41743,44239,45678,47740
18229.0328,41879,41889,41745,44239,45685,47792
19243.0346,41908,41887,41745,44255,45699,47870
20257.0363,41879,41887,41734,44232,45688,47944
