Timestamp, Pad 0, Pad 1, Pad 2, Pad 3, Pad 4, Pad 5
3026.4053,41913,41848,41732,44258,45701,47879
4024.8071,41901,41880,41742,44252,45707,47959
7066.8124,41916,41883,41751,44251,45710,48089
8080.8142,41876,41905,41753,44259,45715,48137
9099.8161,41932,41888,41751,44250,45716,48181
10113.8179,41931,41900,41763,44254,45724,48200
11127.8196,41862,41887,41752,44259,45710,48210
12141.8214,41864,41895,41759,44253,45720,48237
13155.8232,41920,41904,41759,44263,45720,48259
14169.825,41915,41887,41750,44260,45714,48257
15183.8268,41869,41895,41746,44273,45723,48282
16197.8285,41940,41887,41754,44256,45719,48289
17211.8303,41891,41886,41746,44253,45702,48277
18225.8321,41937,41882,41747,44251,45707,48292
19239.8339,41912,41900,41752,44256,45716,48302
20253.8357,41897,41876,41743,44240,45701,48194
21267.8375,41856,41862,41732,44192,44661,47623
22281.8392,41854,41865,41737,43685,44638,47634
23295.841,41835,41860,41672,43316,44641,47637
24309.8428,41848,41445,40788,43247,44634,47636
25309.6455,41836,41856,41689,43350,44626,47612
26323.6473,41876,41832,41573,43279,44641,47633
27337.6491,41855,41827,40986,43257,44629,47621
28351.6508,41886,41863,41728,43774,44653,47632
29365.6526,41880,41878,41734,44231,44774,47642
30379.6544,41910,41865,41742,44255,45150,47642
31393.6562,41856,41891,41745,44265,45462,47665
32407.658,41871,41876,41742,44244,45577,47673
33421.6597,41929,41881,41752,44262,45661,47728
34435.6615,41941,41883,41746,44256,45677,47766
35449.6633,41869,41890,41751,44276,45714,47862
36463.6651,41874,41891,41749,44260,45703,47919
37477.6669,41884,41889,41762,44258,45706,47966
38491.6686,41875,41889,41749,44255,45699,48015
39507.6705,41875,41899,41749,44254,45702,48066
40521.6723,41878,41892,41747,44267,45710,48126
41535.6741,41924,41902,41754,44265,45720,48170
42549.6759,41931,41899,41739,44256,45709,48185
43563.6777,41926,41883,41745,44265,45704,48211
44577.6794,41878,41897,41757,44267,45707,48234
45591.6812,41943,41895,41753,44265,45710,48251
46605.683,41931,41889,41750,44255,45705,48250
47619.6848,41926,41893,41745,44262,45707,48280
48633.6866,41947,41912,41753,44274,45718,48286
49647.6884,41865,41902,41740,44260,45703,48294
50661.6901,41881,41877,41744,44253,45704,48292
51675.6919,41933,41880,41745,44272,45721,48301
52689.6937,41923,41907,41748,44266,45699,48303
53703.6955,41878,41896,41753,44264,45706,48317
54717.6973,41898,41890,41748,44277,45711,48323
55731.699,41887,41888,41749,44260,45710,48332
56745.7008,41947,41899,41752,44262,45706,48361
57759.7026,41940,41902,41751,44262,45705,48382
58773.7044,41930,41899,41749,44263,45715,48392
59787.7062,41892,41920,41752,44245,45698,48378
60801.7079,41901,41906,41749,44240,45708,48388
