Timestamp, Pad 0, Pad 1, Pad 2, Pad 3, Pad 4, Pad 5
2012.4035,41884,41854,41768,44232,45719,48487
2995.2053,41930,41853,41770,44264,45720,48503
4009.207,41951,41870,41762,44255,45737,48498
5023.2088,41919,41871,41757,44245,45711,48489
6037.2106,41931,41873,41773,44256,45729,48504
9079.2159,41886,41865,41756,44264,45725,48505
15163.2266,2350,2461,2451,2861,34747,48509
16177.2284,41896,41889,41780,44279,45732,48540
17191.2302,41933,41842,41748,44254,45730,48536
18205.232,41868,41847,41736,44245,45715,48554
22261.2391,41897,41847,41752,44251,45711,48517
23275.2409,41922,41890,41754,44267,45743,48540
24289.2427,41914,41851,41736,44252,45707,48521
25303.2444,41913,41864,41742,44254,45697,48532
26317.2462,41915,41884,41771,44266,45731,48550
27331.248,41936,41846,41754,44239,45727,48511
28345.2498,41889,41862,41769,44259,45739,48538
29359.2516,41945,41855,41741,44248,45707,48504
30373.2533,2355,39492,41760,44255,45727,48556
31387.2551,41971,41902,41793,44275,45747,48570
32401.2569,41951,41880,41771,44264,45736,48554
33415.2587,41913,41880,41773,44266,45746,48567
34429.2605,41897,41874,41766,44257,45735,48557
35445.7623,41918,41862,41771,44257,45733,48557
36459.7641,41931,41874,41779,44269,45742,48568
37478.7659,41954,41880,41765,44269,45735,48563
38482.1678,41917,41892,41773,44253,45729,48562
39496.1695,41891,41864,41780,44261,45736,48566
40510.1713,41932,41879,41783,44275,45736,48574
41524.1731,41911,41889,41774,44274,45749,48592
42538.1749,41888,41861,41784,44255,45711,48584
43552.1767,41939,41854,41747,44275,45738,48586
44566.1784,41915,41860,41762,44272,45734,48571
45580.1802,41861,41812,41721,44215,44934,47609
46594.182,41918,41796,41484,43244,44650,47615
47608.1838,41915,41803,40914,43223,44632,47610
48622.1856,41818,41271,40796,43231,44637,47615
49636.1873,41751,40832,40784,43226,44641,47635
55724.4072,2353,39320,40802,43270,44632,13573
56738.409,29925,41826,41362,43248,44647,47614
57754.311,41870,41792,41420,43253,44673,47629
76010.1436,41875,41815,41203,43250,44627,47628
77024.1453,41899,41681,40878,43256,44624,47591
78035.0473,41877,41755,40923,43255,44641,47603
79049.0491,41827,41833,41090,43278,44662,47647
80063.0509,2345,2407,36070,43233,44617,47605
81077.0526,41935,41828,41727,43553,44644,47601
82087.9546,2350,2463,36741,44280,45309,47645
83101.9564,41909,41866,41791,44303,45619,47680
84115.9581,41911,41884,41779,44278,45693,47709
85129.9599,41963,41884,41785,44284,45728,47784
86143.9617,41898,41863,41786,44278,45734,47895
87157.9635,41923,41875,41759,44272,45740,47963
88171.9653,41927,41866,41763,44296,45737,48044
89185.9671,41934,41887,41797,44279,45732,48134
90199.9688,41928,41874,41763,44287,45758,48191
91213.9706,41960,41887,41794,44290,45757,48238
92227.9724,41931,41886,41801,44290,45762,48284
93241.9742,41968,41902,41805,44291,45758,48282
94255.976,41936,41880,41764,44259,45725,48341
95269.9777,41932,41873,41793,44291,45751,48392
96283.9795,41956,41864,41770,44276,45756,48406
97297.9813,41958,41899,41802,44300,45757,48409
98311.9831,41923,41866,41764,44282,45746,48457
99325.9849,41911,41899,41802,44288,45764,48498
100339.9866,41957,41903,41803,44288,45769,48534
101353.9884,41909,41889,41797,44301,45757,48515
102367.9902,41972,41897,41798,44305,45752,48522
103381.992,41902,41866,41770,44278,45726,48508
104395.9938,41958,41894,41806,44279,45755,48528
105409.9955,41970,41900,41803,44301,45761,48535
106423.9973,41915,41896,41798,44300,45760,48531
107437.9991,41958,41876,41767,44274,45729,48506
108452.0009,41954,41863,41782,44300,45763,48539
